tool,backend,epsilon,eps_frac_of_medgap,attack_success_rate
ragorigin,llama3.2-3b,1.8604443349563962,1.35,0.24
ragorigin,llama3.2-3b,1.929349680695522,1.4000000000000001,0.24
ragorigin,llama3.2-3b,1.9982550264346477,1.4500000000000002,0.26
ragorigin,llama3.2-3b,2.0671603721737735,1.5,0.28
ragorigin,llama3.2-3b,2.1360657179128992,1.55,0.32
ragorigin,llama3.2-3b,2.204971063652025,1.6,0.38
ragorigin,llama3.2-3b,2.2738764093911508,1.6500000000000001,0.4
ragorigin,llama3.2-3b,2.3427817551302765,1.7,0.48
ragorigin,llama3.2-3b,2.4116871008694023,1.75,0.54
ragorigin,llama3.2-3b,2.480592446608528,1.8,0.6
ragorigin,llama3.2-3b,2.549497792347654,1.85,0.64
ragorigin,llama3.2-3b,2.6184031380867796,1.9,0.74
ragorigin,llama3.2-3b,2.6873084838259054,1.95,0.84
ragorigin,llama3.2-3b,2.756213829565031,2.0,0.86
